dataset,N,edge_count,true_eta,true_rho,graph_size_bin,parameter,posterior_z
61,288,848,0.2618,0.5276,"(217.5, 299.0]",sigma2_w,-0.3065
62,125,361,0.2566,0.3498,"(95.75, 155.0]",sigma2_w,-0.0751
63,89,251,0.5745,0.8620,"(39.9999, 95.75]",sigma2_w,-0.3547
64,176,509,0.5792,0.6555,"(155.0, 217.5]",sigma2_w,-0.3519
65,291,853,0.1698,0.3024,"(217.5, 299.0]",sigma2_w,-1.0182
66,141,406,0.3022,0.3023,"(95.75, 155.0]",sigma2_w,-1.3698
67,208,606,0.1176,0.4836,"(155.0, 217.5]",sigma2_w,-0.8657
68,221,650,0.7415,0.9678,"(217.5, 299.0]",sigma2_w,3.6475
69,154,443,0.0959,0.2455,"(95.75, 155.0]",sigma2_w,-0.2263
70,274,805,0.6607,0.0890,"(217.5, 299.0]",sigma2_w,0.4201
71,211,617,0.3569,0.7607,"(155.0, 217.5]",sigma2_w,-0.4697
72,285,839,0.4363,0.5266,"(217.5, 299.0]",sigma2_w,-0.0626
73,108,309,0.6708,0.0498,"(95.75, 155.0]",sigma2_w,-0.8896
74,117,334,0.3374,0.9514,"(95.75, 155.0]",sigma2_w,0.7269
75,280,824,0.0161,0.0869,"(217.5, 299.0]",sigma2_w,0.2327
76,254,742,0.0106,0.0767,"(217.5, 299.0]",sigma2_w,1.4629
77,215,624,0.4873,0.3495,"(155.0, 217.5]",sigma2_w,-0.1884
78,60,167,0.0353,0.0363,"(39.9999, 95.75]",sigma2_w,-0.8537
79,150,438,0.2857,0.2673,"(95.75, 155.0]",sigma2_w,-1.0477
80,59,163,0.3158,0.1914,"(39.9999, 95.75]",sigma2_w,-0.6225
81,299,876,0.6139,0.4092,"(217.5, 299.0]",sigma2_w,0.4479
82,137,395,0.1484,0.5933,"(95.75, 155.0]",sigma2_w,-0.5115
83,214,626,0.2300,0.6132,"(155.0, 217.5]",sigma2_w,-0.1192
84,115,326,0.0467,0.4849,"(95.75, 155.0]",sigma2_w,0.6072
85,66,184,0.5291,0.1741,"(39.9999, 95.75]",sigma2_w,0.7472
86,151,434,0.4412,0.2839,"(95.75, 155.0]",sigma2_w,-0.3682
87,220,645,0.1423,0.1920,"(217.5, 299.0]",sigma2_w,-1.0275
88,92,261,0.5383,0.2052,"(39.9999, 95.75]",sigma2_w,1.4230
89,49,134,0.2354,0.8756,"(39.9999, 95.75]",sigma2_w,-0.2220
90,146,421,0.5964,0.9479,"(95.75, 155.0]",sigma2_w,1.4617
91,228,667,0.0302,0.6394,"(217.5, 299.0]",sigma2_w,-0.6504
92,121,345,0.1574,0.5954,"(95.75, 155.0]",sigma2_w,-0.4996
93,295,869,0.2797,0.6060,"(217.5, 299.0]",sigma2_w,-0.5981
94,195,567,0.0089,0.2948,"(155.0, 217.5]",sigma2_w,-0.4664
95,202,592,0.6988,0.9733,"(155.0, 217.5]",sigma2_w,0.3023
96,80,226,0.2366,0.6981,"(39.9999, 95.75]",sigma2_w,-0.3166
97,74,207,0.0553,0.6522,"(39.9999, 95.75]",sigma2_w,-0.5192
98,182,529,0.5484,0.8928,"(155.0, 217.5]",sigma2_w,1.6497
99,76,212,0.5843,0.3884,"(39.9999, 95.75]",sigma2_w,-0.2362
100,267,782,0.0667,0.5795,"(217.5, 299.0]",sigma2_w,-0.5630
101,41,112,0.5284,0.1927,"(39.9999, 95.75]",sigma2_w,1.8453
102,138,399,0.7183,0.7410,"(95.75, 155.0]",sigma2_w,1.0678
103,277,813,0.6464,0.3089,"(217.5, 299.0]",sigma2_w,-0.4724
104,113,324,0.6207,0.4204,"(95.75, 155.0]",sigma2_w,-0.7832
105,155,451,0.4912,0.3450,"(95.75, 155.0]",sigma2_w,-0.6625
106,159,460,0.4514,0.2052,"(155.0, 217.5]",sigma2_w,0.8391
107,96,273,0.3762,0.6087,"(95.75, 155.0]",sigma2_w,-0.5443
108,236,689,0.6231,0.2504,"(217.5, 299.0]",sigma2_w,-0.9281
