experiment,label,batch_index,N,elapsed_sec,datasets_in_batch,num_samples_requested,seconds_per_dataset,seconds_per_1000_draws_per_dataset
02_ablate_graph_topology_features,No graph topology features,33,73,1.7034745999844745,50,1000,0.03406949199968949,0.03406949199968949
02_ablate_graph_topology_features,No graph topology features,34,74,1.7092509999638423,50,1000,0.034185019999276846,0.034185019999276846
02_ablate_graph_topology_features,No graph topology features,35,75,1.7012560999719426,50,1000,0.03402512199943885,0.03402512199943885
02_ablate_graph_topology_features,No graph topology features,36,76,1.7107213999843225,50,1000,0.03421442799968645,0.03421442799968645
02_ablate_graph_topology_features,No graph topology features,37,77,1.7273387999739498,50,1000,0.034546775999478994,0.034546775999478994
02_ablate_graph_topology_features,No graph topology features,38,78,1.809852599981241,50,1000,0.03619705199962482,0.03619705199962482
02_ablate_graph_topology_features,No graph topology features,39,79,1.8002542000031099,50,1000,0.0360050840000622,0.0360050840000622
02_ablate_graph_topology_features,No graph topology features,40,80,1.815276899957098,50,1000,0.03630553799914196,0.03630553799914196
02_ablate_graph_topology_features,No graph topology features,41,81,1.8257444000337273,50,1000,0.036514888000674546,0.036514888000674546
02_ablate_graph_topology_features,No graph topology features,42,82,1.852202199981548,50,1000,0.03704404399963096,0.03704404399963096
02_ablate_graph_topology_features,No graph topology features,43,83,1.7902689999900758,50,1000,0.03580537999980152,0.03580537999980152
02_ablate_graph_topology_features,No graph topology features,44,84,1.7855304999975488,50,1000,0.035710609999950974,0.035710609999950974
02_ablate_graph_topology_features,No graph topology features,45,85,1.7899651000043377,50,1000,0.035799302000086755,0.035799302000086755
02_ablate_graph_topology_features,No graph topology features,46,86,1.720275199972093,50,1000,0.03440550399944186,0.03440550399944186
02_ablate_graph_topology_features,No graph topology features,47,87,1.6927147000096738,50,1000,0.03385429400019348,0.03385429400019348
02_ablate_graph_topology_features,No graph topology features,48,88,1.695802600006573,50,1000,0.03391605200013146,0.03391605200013146
02_ablate_graph_topology_features,No graph topology features,49,89,1.6858776999870315,50,1000,0.03371755399974063,0.03371755399974063
02_ablate_graph_topology_features,No graph topology features,50,90,1.6860138999763876,50,1000,0.03372027799952775,0.03372027799952775
02_ablate_graph_topology_features,No graph topology features,51,91,1.6847047999035567,50,1000,0.03369409599807113,0.03369409599807113
02_ablate_graph_topology_features,No graph topology features,52,92,1.6920979000860825,50,1000,0.03384195800172165,0.03384195800172165
02_ablate_graph_topology_features,No graph topology features,53,93,1.6723586999578401,50,1000,0.0334471739991568,0.0334471739991568
02_ablate_graph_topology_features,No graph topology features,54,94,1.679015800007619,50,1000,0.03358031600015238,0.03358031600015238
02_ablate_graph_topology_features,No graph topology features,55,95,1.7602573999902233,50,1000,0.03520514799980447,0.03520514799980447
02_ablate_graph_topology_features,No graph topology features,56,96,1.7956909999484196,50,1000,0.035913819998968394,0.035913819998968394
02_ablate_graph_topology_features,No graph topology features,57,97,1.7567866999888793,50,1000,0.03513573399977758,0.03513573399977758
02_ablate_graph_topology_features,No graph topology features,58,98,1.8171310999896377,50,1000,0.036342621999792754,0.036342621999792754
02_ablate_graph_topology_features,No graph topology features,59,99,1.7952650000806898,50,1000,0.035905300001613794,0.035905300001613794
02_ablate_graph_topology_features,No graph topology features,60,100,1.8234453999903053,50,1000,0.03646890799980611,0.03646890799980611
02_ablate_graph_topology_features,No graph topology features,61,101,1.824258599895984,50,1000,0.03648517199791968,0.03648517199791968
02_ablate_graph_topology_features,No graph topology features,62,102,1.7802730000112206,50,1000,0.03560546000022441,0.03560546000022441
02_ablate_graph_topology_features,No graph topology features,63,103,1.7901412999490276,50,1000,0.035802825998980554,0.035802825998980554
02_ablate_graph_topology_features,No graph topology features,64,104,1.77350419992581,50,1000,0.0354700839985162,0.0354700839985162
02_ablate_graph_topology_features,No graph topology features,65,105,1.769468400045298,50,1000,0.03538936800090596,0.03538936800090596
