loss,val_loss,epoch,experiment,label
2.34765100479126,2.3706789016723637,4,04_ablate_local_spatial_features,No local spatial features
2.242821455001831,2.265432596206665,5,04_ablate_local_spatial_features,No local spatial features
1.9384063482284544,2.0287420749664307,6,04_ablate_local_spatial_features,No local spatial features
1.8308706283569336,1.9857410192489624,7,04_ablate_local_spatial_features,No local spatial features
1.7306396961212158,1.7648420333862305,8,04_ablate_local_spatial_features,No local spatial features
1.5969352722167969,1.5981628894805908,9,04_ablate_local_spatial_features,No local spatial features
1.6434141397476196,1.813609600067139,10,04_ablate_local_spatial_features,No local spatial features
1.52735698223114,1.8316621780395508,11,04_ablate_local_spatial_features,No local spatial features
1.3683838844299316,1.3229314088821411,12,04_ablate_local_spatial_features,No local spatial features
1.3053637742996216,1.3605564832687378,13,04_ablate_local_spatial_features,No local spatial features
1.2513622045516968,1.3574477434158323,14,04_ablate_local_spatial_features,No local spatial features
1.2597044706344604,1.404224872589111,15,04_ablate_local_spatial_features,No local spatial features
1.1187169551849363,1.1652934551239014,16,04_ablate_local_spatial_features,No local spatial features
1.1133785247802734,1.2974464893341064,17,04_ablate_local_spatial_features,No local spatial features
1.0830090045928955,1.0202536582946775,18,04_ablate_local_spatial_features,No local spatial features
0.9396375417709352,1.2704609632492063,19,04_ablate_local_spatial_features,No local spatial features
0.9123836755752563,0.9505897760391236,20,04_ablate_local_spatial_features,No local spatial features
0.8746681809425354,1.0911715030670166,21,04_ablate_local_spatial_features,No local spatial features
0.8106376528739929,0.96668940782547,22,04_ablate_local_spatial_features,No local spatial features
0.7394391894340515,0.9842146039009094,23,04_ablate_local_spatial_features,No local spatial features
0.717601478099823,0.909706711769104,24,04_ablate_local_spatial_features,No local spatial features
0.7137285470962524,1.0624381303787231,25,04_ablate_local_spatial_features,No local spatial features
0.6340595483779907,0.934589982032776,26,04_ablate_local_spatial_features,No local spatial features
0.559668779373169,0.8477377891540527,27,04_ablate_local_spatial_features,No local spatial features
0.5145975351333618,0.8037179112434387,28,04_ablate_local_spatial_features,No local spatial features
0.4799972772598266,0.7536347508430481,29,04_ablate_local_spatial_features,No local spatial features
0.4860894083976745,0.7750102877616882,30,04_ablate_local_spatial_features,No local spatial features
0.4296507239341736,0.7161422967910767,31,04_ablate_local_spatial_features,No local spatial features
0.3919107913970947,0.6676741242408752,32,04_ablate_local_spatial_features,No local spatial features
0.3661056756973266,0.6679458618164062,33,04_ablate_local_spatial_features,No local spatial features
0.3453378677368164,0.656129777431488,34,04_ablate_local_spatial_features,No local spatial features
0.3020830154418945,0.6347537636756897,35,04_ablate_local_spatial_features,No local spatial features
0.290413498878479,0.649444043636322,36,04_ablate_local_spatial_features,No local spatial features
0.2754864990711212,0.6248441934585571,37,04_ablate_local_spatial_features,No local spatial features
0.2485158145427703,0.6363658905029297,38,04_ablate_local_spatial_features,No local spatial features
0.2418606132268905,0.631110429763794,39,04_ablate_local_spatial_features,No local spatial features
0.2402494549751281,0.6279850602149963,40,04_ablate_local_spatial_features,No local spatial features
3.9859673976898193,3.096521377563477,1,05_ablate_global_graph_features,No global graph features
3.231478691101074,2.779280185699463,2,05_ablate_global_graph_features,No global graph features
2.8212058544158936,2.441826343536377,3,05_ablate_global_graph_features,No global graph features
2.412062883377075,2.3851239681243896,4,05_ablate_global_graph_features,No global graph features
2.08270525932312,1.888410568237305,5,05_ablate_global_graph_features,No global graph features
2.0114665031433105,2.147254705429077,6,05_ablate_global_graph_features,No global graph features
1.96210253238678,2.0603058338165283,7,05_ablate_global_graph_features,No global graph features
1.68989360332489,1.4749118089675903,8,05_ablate_global_graph_features,No global graph features
1.6159521341323853,1.4858893156051636,9,05_ablate_global_graph_features,No global graph features
